NUMBER,State,Count,,
1,AL,3945,,
2,AZ,1188,,
3,AR,6225,,
4,CA,61472,,
5,CO,15151,,
6,CT,28176,,
7,DE,2469,,
8,DC,5778,,
9,FL,1855,,
10,GA,3679,,
11,ID,1939,,
12,IL,338382,,
13,IN,84900,,
14,IA,127246,,
15,KS,46423,,
16,KY,32620,,
17,LA,14625,,
18,ME,1104,,
19,MD,52436,,
20,MA,28034,,
21,MI,135509,,
22,MN,116955,,
23,MS,2284,,
24,MO,125461,,
25,MT,5609,,
26,NE,72618,,
27,NV,1563,,
28,NH,1631,,
29,NJ,106181,,
30,NM,1413,,
31,NY,498602,,
32,NC,1077,,
33,ND,8943,,
34,OH,235668,,
35,OK,739,,
36,OR,12475,,
37,PA,230516,,
38,RI,3200,,
39,SC,2502,,
40,SD,18188,,
41,TN,5364,,
42,TX,48843,,
43,UT,2121,,
44,VT,877,,
45,VA,4361,,
46,WA,15399,,
47,WV,7292,,
48,WI,259819,,
49,WY,2037,,
,,,,
